fiscalDateEnding	reportedCurrency	totalAssets	totalCurrentAssets	cashAndCashEquivalentsAtCarryingValue	cashAndShortTermInvestments	inventory	currentNetReceivables	totalNonCurrentAssets	propertyPlantEquipment	accumulatedDepreciationAmortizationPPE	intangibleAssets	intangibleAssetsExcludingGoodwill	goodwill	investments	longTermInvestments	shortTermInvestments	otherCurrentAssets	otherNonCurrentAssets	totalLiabilities	totalCurrentLiabilities	currentAccountsPayable	deferredRevenue	currentDebt	shortTermDebt	totalNonCurrentLiabilities	capitalLeaseObligations	longTermDebt	currentLongTermDebt	longTermDebtNoncurrent	shortLongTermDebtTotal	otherCurrentLiabilities	otherNonCurrentLiabilities	totalShareholderEquity	treasuryStock	retainedEarnings	commonStock	commonStockSharesOutstanding
2023-12-31	USD	353514000000	143692000000	40760000000	73100000000	6511000000	50102000000	209822000000	43666000000	72510000000	None	None	None	272376000000	99475000000	32340000000	13979000000	66681000000	279414000000	133973000000	58146000000	20764000000	12952000000	1998000000	145441000000	None	106000000000	10954000000	95088000000	107998000000	54611000000	50353000000	74100000000	None	8242000000	75236000000	15460223000
2023-09-30	USD	352583000000	143566000000	29965000000	61555000000	6331000000	60985000000	209017000000	43715000000	70884000000	None	None	None	264965000000	100544000000	31590000000	14695000000	64758000000	290437000000	145308000000	62611000000	20161000000	15972000000	5985000000	145129000000	859000000	105100000000	9822000000	95281000000	111088000000	58829000000	49848000000	62146000000	None	-214000000	73812000000	15550061000
2023-06-30	USD	335038000000	122659000000	28408000000	62482000000	7351000000	39186000000	212379000000	43550000000	70787000000	None	None	None	277871000000	104061000000	34074000000	13640000000	64768000000	274764000000	124963000000	46699000000	20358000000	11209000000	3993000000	149801000000	None	105300000000	7216000000	98071000000	109293000000	58897000000	51730000000	60274000000	None	1408000000	70667000000	15647868000
2023-03-31	USD	332160000000	112913000000	24687000000	24687000000	7482000000	None	219247000000	43398000000	69668000000	None	None	None	None	110461000000	31185000000	13660000000	65388000000	270002000000	120075000000	42945000000	None	None	12574000000	149927000000	None	107600000000	10578000000	97041000000	109615000000	56425000000	52886000000	62158000000	None	4336000000	69568000000	15723406000
2022-12-31	USD	346747000000	128777000000	20535000000	51355000000	6820000000	54180000000	217970000000	42951000000	68044000000	None	None	None	291347000000	114095000000	30820000000	16422000000	60924000000	290020000000	137286000000	57918000000	20592000000	11483000000	1743000000	152734000000	None	109400000000	9740000000	99627000000	111143000000	59893000000	53107000000	56727000000	None	3240000000	66399000000	15842407000
2022-09-30	USD	352755000000	135405000000	23646000000	48304000000	4946000000	60932000000	217350000000	42117000000	72340000000	None	None	None	292870000000	120805000000	24658000000	21223000000	54428000000	302083000000	153982000000	64115000000	20312000000	21239000000	9982000000	148101000000	812000000	110087000000	11128000000	98959000000	233256000000	60845000000	49142000000	50672000000	None	-3068000000	64849000000	15943425000
2022-06-30	USD	336309000000	112292000000	27502000000	48231000000	5433000000	42242000000	224017000000	40335000000	71516000000	None	None	None	307072000000	131077000000	20729000000	16386000000	52605000000	278202000000	129873000000	48343000000	19928000000	24991000000	10982000000	148329000000	None	108700000000	14009000000	94700000000	119682000000	48811000000	53629000000	58107000000	None	5289000000	62115000000	16095378000
2022-03-31	USD	350662000000	118180000000	28098000000	51511000000	5460000000	45400000000	232482000000	39304000000	70020000000	None	None	None	335183000000	141219000000	23413000000	15809000000	51959000000	283263000000	127508000000	52682000000	20420000000	16658000000	6999000000	155755000000	None	113000000000	9659000000	103323000000	119999000000	50248000000	52432000000	67399000000	None	12712000000	61181000000	16207568000
2021-12-31	USD	381191000000	153154000000	37119000000	63913000000	5876000000	65253000000	228037000000	39245000000	68454000000	None	None	None	338496000000	138683000000	26794000000	18112000000	50109000000	309259000000	147574000000	74362000000	20276000000	16169000000	5000000000	161685000000	None	117800000000	11169000000	106629000000	122800000000	49167000000	55056000000	71932000000	None	14435000000	58424000000	16340851000
2021-09-30	USD	351002000000	134836000000	34940000000	62639000000	6580000000	51506000000	216166000000	39440000000	70283000000	None	None	None	318994000000	127877000000	27699000000	14111000000	48849000000	287912000000	125481000000	54763000000	19512000000	15692000000	6000000000	162431000000	769000000	118700000000	9613000000	109106000000	241783000000	47493000000	53325000000	63090000000	None	5562000000	57365000000	16426786000
